#otu,P1-1,P1-2,P1-3,P2-1,P2-2,P2-3,P3-1,P3-2,P3-3
2cc2d3fe38463fd095527c5748788ba9,0,0,0,0,0,0,0,0,352
f811fbe0e67d940a23972b86a2b89276,0,331,0,0,0,0,0,0,0
d14a313009c0a034c45c53bc837e4b66,0,330,196,0,0,0,0,0,0
82473ca92bec4a3de368710db2c7c012,0,329,0,0,0,0,0,0,0
1e8866587eec6359a45743b764bbc4d5,326,0,0,93,0,0,0,0,0
5aa65408db8f4a5a5449414e4f0f320c,0,0,0,0,0,0,0,0,325
f3b5eea09ce52bc4d2333672ff416710,0,0,0,0,0,0,0,0,307
b9dc33ce8aca4174b46d2dbdb5b48003,0,301,119,0,190,0,0,30,0
465b35b919cd4a55b8335f8502e019e7,60,292,90,90,157,190,148,65,0
a1a1e6002a37ba32885e3ef6c86348cb,0,288,0,0,0,0,0,0,0
b64d9a0034580be7ea4126a7d7508d2f,0,0,287,0,0,0,0,0,0
87a9306bf322d3068115d9c1d46f97e1,0,0,0,0,0,0,0,0,285
6503a7094342b1c6cfb946dde19746d9,0,0,283,0,0,0,0,0,0
6edc73649b84a1048e2787ced8a4a8f6,135,282,0,0,0,0,0,0,0
4121d62531df2e5fcf2e2f5adf7e93a5,0,0,0,0,276,0,0,0,0
690175541dffac7f36774f3fe822d482,271,0,0,0,0,0,0,0,0
6497c7d4fdce28a2ee2a5f3d7eaa3c24,0,254,0,0,0,0,0,0,0
6c8653fb4fdce4ec6687d707941c1642,0,0,0,0,0,0,126,0,252
b05791f1a54ebc0f5241f4231951debd,0,0,0,0,0,0,0,13,248
b3729a71b29d1a3a89705d30ec327f5e,0,0,0,233,0,0,0,0,0
df44bdcb3956fc62a8229c77f2aa7802,0,226,0,0,138,84,0,0,0
39a2c08c238c4e1728484c114402ef8a,0,0,0,0,0,226,0,0,0
2b394630c827ae71d41b746fcb6b9c38,0,0,0,0,0,0,0,0,220
8779ad724d1bf38141587a2d2f178231,219,180,0,100,217,97,141,62,0
fe84812d72b16afe2a59a8495026d277,0,0,0,0,0,0,0,215,0
35291b912b00f37747bcc347ede1c282,0,0,0,0,0,0,0,0,205
fc6a14791b362ebb7959dc42cdf7c9aa,0,199,0,0,0,0,0,0,0
50e2d2a78c9f395db203b1a7d8b2a6e0,0,0,0,0,0,0,0,193,0
26408c1af1906a8831c933bf79a2ad8e,0,192,0,0,0,0,0,0,34
7d07aae9252d0cd68cf7d12ffbf26b20,0,0,0,0,0,0,191,0,0
ff32ed4ef32eadd384981be83bbdedd7,185,0,0,0,0,0,0,0,0
e08d1ac45a018311cc63ae82e1ce3d9c,0,185,0,0,39,83,0,36,103
fe3faeaa747d83f7dd6ba6507f240b21,0,0,0,179,0,0,0,0,0
274554e3e4f845e2f1dc1c383cc7cca6,0,0,171,0,51,0,0,0,0
5fc94aad12e41e2761973b05f448bcae,0,0,0,170,0,0,0,0,0
7a16e35267d852f1940262cd63ecb91e,0,165,0,0,0,0,0,0,0
fd53605ad4aeb513807e6f329321ea4a,0,0,0,0,0,0,0,0,165
1a6e42baac42c9db4a624c652b69b268,0,0,163,0,0,0,0,0,0
0577cb80e070768ac2ccba4b8d1d4d1f,0,0,0,0,0,0,0,0,158
9c5edb7a6820948f051b02282ba04eb4,0,0,156,0,0,0,0,0,0
4ad5be2f3ff465af621ac431aa4cb117,0,0,156,0,0,0,0,0,0
e165f2e17f7d100980676b1559b2546f,0,154,0,0,0,0,0,0,0
8cc7220cfe965b1936524894297b5180,153,0,0,0,0,0,0,0,0
814d9fa6ddb9c8fd858ec345a5857d52,0,0,153,0,0,0,0,0,0
78ab9236a75445a746ff0c06c32c38fd,0,0,153,0,124,0,122,0,0
f546a8bc4af80f3d89201b319a0b2357,0,0,40,0,0,150,94,0,0
234fa932cbff8fedacf02696e898818c,0,0,0,0,0,0,150,0,0
d0f5c5291cc24b4e324d6a5727916001,0,149,0,0,0,0,0,0,0
01edd66886a699ad420ca0d8db401937,147,0,0,0,0,0,0,0,0
f133db0914cb2fa9bf3e8f4030bc0edd,146,0,0,0,0,0,0,0,0
75cefffe79bd4acb5753bb6fa16b86ee,146,0,0,0,0,0,0,0,0
064122535155d5e9c909b153ed3fdeaa,0,144,0,0,0,0,0,0,0
0a35f3bc52308d3fc0aed34962cbf3ff,107,143,0,0,0,0,0,0,0
c85b99c8c85f535c9474e546d8ea4e36,50,0,142,0,0,0,0,0,0
f308527ec99a90f9618941d919a7d052,0,0,139,0,0,0,0,0,0
0a793eb09dfb6bfb1685b2c0f3b1b513,0,0,0,0,0,0,0,0,139
5518ffcd71650a81600effee13fe985e,0,0,138,43,41,0,96,0,0
031c38943165a3435e1e2f8634ff0fea,0,0,0,0,0,0,0,0,138
7877c48d14620e1d5a98b6d5aa4927b2,0,0,137,0,61,0,0,0,0
4a09405fd900a8121d9c3495a58bc71b,0,0,0,135,0,0,0,0,0
2b1e6aa0cd67f564d0377fe11ccef9fe,0,0,0,0,0,0,135,0,0
caec31a4ad450ca6cdeab4bdef3daee1,3,0,134,0,0,0,0,0,0
e313d4fccffecfd25f3b803512cebe4c,0,0,0,134,0,0,0,0,0
842e4a9c63f45b25385ffb939998a9b9,0,131,0,0,0,0,0,0,0
ec50855dc67446b69f489a6be395f7c6,93,130,0,0,0,0,0,0,0
a986fd62e65bc950bc8a3af3dfcd71ac,129,0,0,0,0,0,0,0,0
29e95832325fc6a286e53ab7aa644d71,0,129,0,0,0,77,0,0,0
9b8622116ac99d98b38667e8bc307015,0,0,129,0,0,0,0,0,0
db8b3416a86aecd0f47a62bbef31b184,0,0,0,129,0,0,0,0,0
a0ba907f90f3a189a87e89793afb6a94,0,127,70,0,0,0,0,60,0
749c319e04d5018e33ea589bb4e5a878,0,127,0,0,0,0,0,0,0
